Numer;Dzien;Miesiac;Rok;L1;L2;L3;L4;L5
2799;22;1;2013;31;16;13;23;22
2800;24;1;2013;36;41;27;9;18
2801;26;1;2013;29;40;16;17;14
2802;29;1;2013;23;38;40;2;9
2803;31;1;2013;11;5;31;37;23
2804;2;2;2013;23;27;19;21;42
2805;5;2;2013;4;2;27;7;1
2806;7;2;2013;14;29;30;31;26
2807;9;2;2013;3;38;28;39;29
2808;12;2;2013;40;29;14;16;22
2809;14;2;2013;14;37;3;20;30
2810;16;2;2013;18;10;41;25;17
2811;19;2;2013;23;24;2;38;12
2812;21;2;2013;7;21;35;5;16
2813;23;2;2013;41;9;18;23;22
2814;26;2;2013;17;20;32;35;25
2815;28;2;2013;8;23;25;27;29
2816;2;3;2013;32;17;12;4;7
2817;5;3;2013;4;26;27;2;3
2818;7;3;2013;19;33;3;2;17
2819;9;3;2013;38;9;22;42;12
2820;12;3;2013;6;20;5;26;32
2821;14;3;2013;31;9;8;29;34
2822;16;3;2013;9;4;39;31;26
2823;19;3;2013;11;38;15;41;9
2824;21;3;2013;41;42;3;29;37
2825;23;3;2013;18;13;12;29;39
2826;26;3;2013;34;5;42;8;4
2827;28;3;2013;36;5;3;23;35
2828;30;3;2013;22;36;10;39;16
2829;2;4;2013;12;28;38;39;1
2830;4;4;2013;31;4;32;15;27
2831;6;4;2013;28;13;26;30;42
2832;9;4;2013;34;41;23;26;35
2833;11;4;2013;24;41;37;28;1
2834;13;4;2013;15;17;28;11;36
2835;16;4;2013;40;26;39;34;41
2836;18;4;2013;38;41;1;9;37
2837;20;4;2013;28;27;8;40;20
2838;23;4;2013;15;9;12;33;19
2839;25;4;2013;10;14;40;30;19
2840;27;4;2013;13;11;22;33;4
2841;30;4;2013;1;39;33;21;38
2842;2;5;2013;27;23;1;11;38
2843;4;5;2013;32;12;7;34;39
2844;7;5;2013;25;20;29;35;39
2845;9;5;2013;14;33;6;35;27
2846;11;5;2013;23;22;12;15;2
2847;14;5;2013;7;40;11;1;36
2848;16;5;2013;32;17;31;7;26
2849;18;5;2013;21;12;24;32;9
2850;21;5;2013;36;35;19;3;28
2851;23;5;2013;8;42;1;40;24
2852;25;5;2013;39;30;5;7;1
2853;28;5;2013;10;3;23;33;12
2854;30;5;2013;6;19;5;28;11
2855;1;6;2013;36;17;14;39;27
2856;4;6;2013;22;5;38;10;4
2857;6;6;2013;19;6;39;30;10
2858;8;6;2013;27;1;32;25;29
2859;11;6;2013;23;5;26;39;22
2860;13;6;2013;28;13;34;12;21
2861;15;6;2013;21;36;10;42;40
2862;18;6;2013;4;38;23;41;26
2863;20;6;2013;17;38;9;2;32
2864;22;6;2013;34;7;20;41;6
2865;25;6;2013;32;1;27;10;8
2866;27;6;2013;21;39;25;3;41
2867;29;6;2013;15;5;37;35;6
2868;2;7;2013;15;1;41;19;29
2869;4;7;2013;32;37;21;9;2
2870;6;7;2013;18;41;17;36;15
2871;9;7;2013;6;4;36;31;8
2872;11;7;2013;39;8;9;34;10
2873;13;7;2013;30;27;23;21;42
2874;16;7;2013;34;25;13;36;15
2875;18;7;2013;36;32;40;33;42
2876;20;7;2013;23;5;29;16;25
2877;23;7;2013;35;4;6;27;33
2878;25;7;2013;19;25;12;36;5
2879;27;7;2013;19;11;14;33;23
2880;30;7;2013;29;14;17;37;18
2881;1;8;2013;2;1;9;3;41
2882;3;8;2013;23;26;25;39;9
2883;6;8;2013;21;31;28;17;16
2884;8;8;2013;27;15;37;40;24
2885;10;8;2013;27;29;41;40;1
2886;13;8;2013;7;10;27;6;34
2887;15;8;2013;9;19;35;11;7
2888;17;8;2013;7;24;27;5;40
2889;20;8;2013;30;31;21;40;23
2890;22;8;2013;8;18;36;41;24
2891;24;8;2013;38;40;1;35;37
2892;27;8;2013;1;30;5;24;26
2893;29;8;2013;23;36;37;19;40
2894;31;8;2013;23;4;2;24;14
2895;3;9;2013;36;17;27;22;34
2896;5;9;2013;5;3;1;40;9
2897;7;9;2013;6;25;40;41;2
2898;10;9;2013;11;30;37;31;16
2899;12;9;2013;3;24;6;42;28
2900;14;9;2013;39;2;35;9;14
2901;17;9;2013;33;27;42;39;11
2902;19;9;2013;16;23;24;1;9
2903;21;9;2013;25;29;37;30;36
2904;24;9;2013;9;36;22;33;6
2905;26;9;2013;33;41;34;4;28
2906;28;9;2013;10;8;13;37;41
2907;1;10;2013;23;38;9;20;8
2908;3;10;2013;4;11;3;13;22
2909;5;10;2013;40;6;3;38;19
2910;8;10;2013;32;33;15;22;13
2911;10;10;2013;24;9;20;18;28
2912;12;10;2013;11;27;12;18;36
2913;15;10;2013;29;14;22;24;23
2914;17;10;2013;2;16;9;7;26
2915;19;10;2013;40;2;34;18;42
2916;22;10;2013;32;24;33;12;42
2917;24;10;2013;5;23;10;17;40
2918;26;10;2013;10;9;7;20;29
2919;29;10;2013;15;41;7;12;30
2920;31;10;2013;32;26;31;22;24
2921;2;11;2013;13;23;26;29;11
2922;5;11;2013;28;23;14;39;8
2923;7;11;2013;37;22;31;4;17
2924;9;11;2013;22;4;17;16;28
2925;12;11;2013;26;4;19;9;8
2926;14;11;2013;18;20;39;9;35
2927;16;11;2013;20;30;26;6;15
2928;19;11;2013;16;21;20;11;3
2929;21;11;2013;1;32;5;36;33
2930;23;11;2013;17;38;27;16;32
2931;26;11;2013;40;25;3;29;37
2932;28;11;2013;15;20;11;21;39
2933;30;11;2013;34;15;35;10;41
2934;3;12;2013;1;34;40;32;41
2935;5;12;2013;22;26;37;34;9
2936;7;12;2013;9;15;17;3;36
2937;10;12;2013;42;9;19;17;2
2938;12;12;2013;6;23;11;15;10
2939;14;12;2013;20;37;23;38;32
2940;17;12;2013;10;27;20;1;28
2941;19;12;2013;24;27;9;18;21
2942;21;12;2013;8;41;3;18;38
2943;24;12;2013;32;16;27;39;4
2944;26;12;2013;23;9;5;6;31
2945;28;12;2013;2;23;19;33;41
2946;31;12;2013;37;23;33;35;6
2947;2;1;2014;18;24;3;1;38
2948;4;1;2014;31;33;21;42;30
2949;7;1;2014;28;24;2;31;40
2950;9;1;2014;15;39;14;32;25
2951;11;1;2014;27;7;22;26;23
2952;14;1;2014;8;16;23;17;2
2953;16;1;2014;42;4;30;40;19
2954;18;1;2014;31;6;12;21;17
2955;21;1;2014;1;9;30;34;17
2956;23;1;2014;41;40;18;1;39
2957;25;1;2014;22;39;14;5;10
2958;28;1;2014;28;42;39;31;12
2959;30;1;2014;28;34;40;21;24
2960;1;2;2014;21;26;37;11;29
2961;4;2;2014;29;35;21;5;42
2962;6;2;2014;40;8;13;15;26
2963;8;2;2014;19;35;13;41;40
2964;11;2;2014;28;42;31;22;7
2965;13;2;2014;22;15;32;8;2
2966;15;2;2014;29;24;31;27;25
2967;18;2;2014;5;13;8;11;41
2968;20;2;2014;40;6;9;14;33
2969;22;2;2014;9;5;13;10;1
2970;25;2;2014;42;31;4;34;22
2971;27;2;2014;15;7;39;40;24
2972;1;3;2014;8;32;23;36;7
2973;4;3;2014;7;26;31;6;4
2974;6;3;2014;19;4;17;6;22
2975;8;3;2014;15;12;29;4;6
2976;11;3;2014;34;24;6;35;3
2977;13;3;2014;13;21;22;1;11
2978;15;3;2014;16;26;17;24;25
2979;18;3;2014;18;42;27;9;40
2980;20;3;2014;21;32;10;1;13
2981;22;3;2014;9;39;17;32;21
2982;25;3;2014;36;31;39;37;21
2983;27;3;2014;3;6;35;10;17
2984;29;3;2014;24;13;4;20;42
2985;1;4;2014;3;28;24;18;32
2986;3;4;2014;26;10;36;9;16
2987;5;4;2014;25;30;41;11;28
2988;8;4;2014;9;2;36;34;23
2989;10;4;2014;3;33;19;35;21
2990;12;4;2014;26;17;19;21;28
2991;14;4;2014;1;27;41;9;18
2992;15;4;2014;20;2;28;14;31
2993;16;4;2014;22;14;8;11;25
2994;17;4;2014;23;28;4;41;35
2995;18;4;2014;1;6;11;15;16
2996;19;4;2014;3;5;20;21;42
2997;21;4;2014;10;31;23;32;13
2998;22;4;2014;7;1;26;27;35
2999;23;4;2014;41;25;34;9;14
3000;24;4;2014;10;16;20;21;36
3001;25;4;2014;3;14;19;27;29
3002;26;4;2014;33;40;42;12;20
3003;28;4;2014;25;10;22;30;11
3004;29;4;2014;29;9;5;24;12
3005;30;4;2014;29;35;9;32;41
3006;1;5;2014;20;42;28;8;12
3007;2;5;2014;42;14;24;33;20
3008;3;5;2014;16;18;28;19;39
3009;5;5;2014;37;12;1;16;2
3010;6;5;2014;5;16;11;41;24
3011;7;5;2014;10;2;11;14;3
3012;8;5;2014;30;19;33;31;8
3013;9;5;2014;7;22;32;23;5
3014;10;5;2014;14;11;30;27;39
3015;12;5;2014;6;17;35;9;29
3016;13;5;2014;34;7;42;31;6
3017;14;5;2014;16;34;7;2;24
3018;15;5;2014;3;34;26;13;31
3019;16;5;2014;13;28;7;29;30
3020;17;5;2014;6;9;25;8;35
3021;19;5;2014;16;2;19;3;40
3022;20;5;2014;7;16;6;34;41
3023;21;5;2014;9;5;34;19;41
3024;22;5;2014;38;19;1;36;3
3025;23;5;2014;12;11;29;34;14
3026;24;5;2014;8;19;21;24;34
3027;26;5;2014;11;7;35;30;40
3028;27;5;2014;30;40;28;8;37
3029;28;5;2014;14;32;41;26;4
3030;29;5;2014;9;23;26;38;27
3031;30;5;2014;19;38;26;8;21
3032;31;5;2014;22;14;25;26;3
3033;2;6;2014;42;32;13;39;10
3034;3;6;2014;37;31;36;42;10
3035;4;6;2014;9;1;8;39;14
3036;5;6;2014;13;36;2;29;18
3037;6;6;2014;12;40;3;5;19
3038;7;6;2014;42;33;4;3;24
3039;9;6;2014;16;37;27;41;26
3040;10;6;2014;41;14;10;2;19
3041;11;6;2014;38;13;33;30;19
3042;12;6;2014;4;25;23;18;10
3043;13;6;2014;12;35;30;6;37
3044;14;6;2014;20;31;13;6;24
3045;16;6;2014;20;16;34;30;26
3046;17;6;2014;30;2;15;1;26
3047;18;6;2014;40;3;42;33;16
3048;19;6;2014;10;1;30;12;42
3049;20;6;2014;37;24;16;22;6
3050;21;6;2014;38;33;36;35;29
3051;23;6;2014;6;27;31;29;26
3052;24;6;2014;2;34;21;1;11
3053;25;6;2014;36;33;40;37;15
3054;26;6;2014;29;23;39;21;6
3055;27;6;2014;23;7;4;12;25
3056;28;6;2014;26;7;37;32;8
3057;30;6;2014;16;38;41;24;36
3058;1;7;2014;25;1;38;17;22
3059;2;7;2014;34;32;28;20;30
3060;3;7;2014;33;21;7;28;32
3061;4;7;2014;19;24;23;3;15
3062;5;7;2014;30;42;36;26;18
3063;7;7;2014;37;42;38;24;26
3064;8;7;2014;24;18;4;28;30
3065;9;7;2014;15;21;10;41;5
3066;10;7;2014;11;30;32;3;22
3067;11;7;2014;3;21;9;2;25
3068;12;7;2014;22;36;28;31;11
3069;14;7;2014;17;2;4;20;1
3070;15;7;2014;1;16;15;37;33
3071;16;7;2014;39;7;2;16;34
3072;17;7;2014;32;30;9;41;18
3073;18;7;2014;18;4;10;28;30
3074;19;7;2014;36;2;4;10;18
3075;21;7;2014;1;10;19;3;30
3076;22;7;2014;9;15;12;25;39
3077;23;7;2014;33;35;17;26;14
3078;24;7;2014;6;1;8;24;17
3079;25;7;2014;27;30;13;6;41
3080;26;7;2014;28;30;12;38;32
3081;28;7;2014;10;30;31;3;18
3082;29;7;2014;37;7;32;1;39
3083;30;7;2014;42;8;23;16;10
3084;31;7;2014;11;31;41;9;20
3085;1;8;2014;42;14;22;13;36
3086;2;8;2014;34;11;10;8;41
3087;4;8;2014;6;11;1;35;15
3088;5;8;2014;28;41;35;7;37
3089;6;8;2014;38;14;11;24;16
3090;7;8;2014;22;11;25;3;35
3091;8;8;2014;20;16;21;14;18
3092;9;8;2014;28;42;21;24;23
3093;11;8;2014;8;2;34;11;36
3094;12;8;2014;4;18;20;25;11
3095;13;8;2014;29;37;21;7;30
3096;14;8;2014;12;31;24;29;5
3097;15;8;2014;24;19;28;37;23
3098;16;8;2014;24;5;9;38;35
3099;18;8;2014;12;16;32;34;38
3100;19;8;2014;34;42;18;17;7
3101;20;8;2014;7;8;3;36;33
3102;21;8;2014;13;25;22;10;20
3103;22;8;2014;2;42;24;17;15
3104;23;8;2014;22;33;7;27;38
3105;25;8;2014;39;35;33;30;8
3106;26;8;2014;17;16;18;21;10
3107;27;8;2014;19;13;23;38;25
3108;28;8;2014;38;21;36;19;15
3109;29;8;2014;3;41;21;39;2
3110;30;8;2014;1;10;19;3;24
3111;1;9;2014;7;9;34;16;6
3112;2;9;2014;36;39;14;13;8
3113;3;9;2014;5;9;19;20;11
3114;4;9;2014;26;39;30;28;15
3115;5;9;2014;13;29;35;10;32
3116;6;9;2014;28;11;41;34;37
3117;8;9;2014;27;3;15;21;39
3118;9;9;2014;16;42;13;28;41
3119;10;9;2014;27;23;1;11;40
3120;11;9;2014;10;6;35;9;12
3121;12;9;2014;19;8;42;24;36
3122;13;9;2014;35;30;37;11;4
3123;15;9;2014;2;42;17;39;18
3124;16;9;2014;33;4;7;32;34
3125;17;9;2014;28;36;42;34;27
3126;18;9;2014;7;11;21;30;5
3127;19;9;2014;35;8;36;42;10
3128;20;9;2014;10;12;32;11;40
3129;22;9;2014;21;37;9;27;40
3130;23;9;2014;41;16;30;4;21
3131;24;9;2014;9;29;8;4;1
3132;25;9;2014;14;13;1;28;4
3133;26;9;2014;34;20;9;28;10
3134;27;9;2014;21;10;37;29;8
3135;29;9;2014;41;24;36;29;2
3136;30;9;2014;12;3;25;1;35
3137;1;10;2014;24;26;19;1;29
3138;2;10;2014;19;41;4;23;7
3139;3;10;2014;26;39;12;14;35
3140;4;10;2014;26;34;25;27;2
3141;6;10;2014;12;6;20;30;9
3142;7;10;2014;20;5;25;15;18
3143;8;10;2014;36;32;38;21;26
3144;9;10;2014;40;35;7;30;37
3145;10;10;2014;24;26;23;15;22
3146;11;10;2014;3;40;34;25;18
3147;13;10;2014;16;34;41;20;9
3148;14;10;2014;23;21;35;40;8
3149;15;10;2014;10;14;8;11;1
3150;16;10;2014;42;17;19;30;34
3151;17;10;2014;6;2;28;17;11
3152;18;10;2014;35;20;11;36;14
3153;20;10;2014;3;35;19;25;10
3154;21;10;2014;34;16;17;13;19
3155;22;10;2014;24;17;38;35;30
3156;23;10;2014;13;27;35;8;5
3157;24;10;2014;12;17;36;4;42
3158;25;10;2014;2;34;37;14;12
3159;27;10;2014;2;28;7;33;39
3160;28;10;2014;32;14;22;30;18
3161;29;10;2014;31;1;27;18;23
3162;30;10;2014;27;29;9;8;42
3163;31;10;2014;26;36;13;33;10
3164;1;11;2014;30;16;12;31;39
3165;3;11;2014;8;40;30;38;13
3166;4;11;2014;3;15;11;36;25
3167;5;11;2014;6;42;15;16;17
3168;6;11;2014;36;40;12;19;9
3169;7;11;2014;35;31;37;26;30
3170;8;11;2014;29;37;15;16;18
3171;10;11;2014;42;40;36;12;13
3172;11;11;2014;9;38;22;10;41
3173;12;11;2014;12;15;5;10;23
3174;13;11;2014;2;29;41;8;39
3175;14;11;2014;37;25;8;34;30
3176;15;11;2014;35;19;32;28;24
3177;17;11;2014;40;20;5;13;30
3178;18;11;2014;26;38;14;18;40
3179;19;11;2014;10;39;30;38;1
3180;20;11;2014;3;13;5;10;9
3181;21;11;2014;12;16;26;21;15
3182;22;11;2014;16;17;34;33;5
3183;24;11;2014;23;17;1;5;26
3184;25;11;2014;11;40;39;30;19
3185;26;11;2014;17;27;37;3;26
3186;27;11;2014;33;20;30;24;22
3187;28;11;2014;9;36;20;35;3
3188;29;11;2014;15;34;42;1;26
3189;1;12;2014;32;7;36;39;19
3190;2;12;2014;31;33;29;36;18
3191;3;12;2014;33;3;2;30;37
3192;4;12;2014;30;2;1;17;9
3193;5;12;2014;39;30;13;11;6
3194;6;12;2014;13;28;4;5;36
3195;8;12;2014;5;8;28;24;21
3196;9;12;2014;14;24;33;8;23
3197;10;12;2014;18;16;11;32;6
3198;11;12;2014;37;19;39;7;35
3199;12;12;2014;1;20;25;26;35
3200;13;12;2014;17;24;35;33;29
3201;15;12;2014;27;8;7;22;5
3202;16;12;2014;23;25;35;27;10
3203;17;12;2014;34;6;39;7;41
3204;18;12;2014;39;16;27;36;21
3205;19;12;2014;32;36;2;27;11
3206;20;12;2014;18;30;6;33;16
3207;22;12;2014;31;32;30;42;29
3208;23;12;2014;33;32;4;30;31
3209;24;12;2014;9;38;7;37;36
3210;25;12;2014;3;35;23;14;11
3211;26;12;2014;4;30;22;19;32
3212;27;12;2014;19;1;7;9;2
3213;29;12;2014;32;6;7;42;15
3214;30;12;2014;18;28;8;40;21
3215;31;12;2014;8;17;7;32;42
3216;1;1;2015;41;2;38;5;13
3217;2;1;2015;16;20;40;34;29
3218;3;1;2015;31;21;20;6;23
3219;5;1;2015;27;4;30;20;41
3220;6;1;2015;20;25;19;4;15
3221;7;1;2015;1;37;5;19;30
3222;8;1;2015;23;26;10;19;14
3223;9;1;2015;4;27;12;32;37
3224;10;1;2015;28;24;12;38;23
3225;12;1;2015;12;2;21;20;19
3226;13;1;2015;23;42;31;16;32
3227;14;1;2015;31;7;1;27;42
3228;15;1;2015;23;38;5;40;27
3229;16;1;2015;28;10;4;37;31
3230;17;1;2015;38;36;33;24;21
3231;19;1;2015;24;16;12;22;36
3232;20;1;2015;40;21;15;5;1
3233;21;1;2015;6;42;32;15;4
3234;22;1;2015;39;22;24;41;35
3235;23;1;2015;19;15;41;10;32
3236;24;1;2015;11;39;37;18;20
3237;26;1;2015;37;19;20;10;11
3238;27;1;2015;38;33;22;37;36
3239;28;1;2015;14;37;35;26;11
3240;29;1;2015;32;15;37;4;3
3241;30;1;2015;13;15;19;21;17
3242;31;1;2015;40;34;19;1;2
3243;2;2;2015;8;24;2;11;40
3244;3;2;2015;31;34;15;8;25
3245;4;2;2015;26;4;10;29;7
3246;5;2;2015;42;9;22;32;2
3247;6;2;2015;13;21;36;8;34
3248;7;2;2015;22;23;13;7;10
3249;9;2;2015;42;2;8;21;25
3250;10;2;2015;3;28;26;5;10
3251;11;2;2015;2;35;8;31;3
3252;12;2;2015;3;24;11;28;30
3253;13;2;2015;5;14;39;3;30
3254;14;2;2015;12;37;2;22;35
3255;16;2;2015;15;20;7;5;35
3256;17;2;2015;12;40;7;25;19
3257;18;2;2015;2;10;21;18;27
3258;19;2;2015;20;32;10;19;8
3259;20;2;2015;17;13;23;2;10
3260;21;2;2015;22;35;7;17;29
3261;23;2;2015;22;37;17;20;40
3262;24;2;2015;2;36;39;21;19
3263;25;2;2015;21;30;7;16;6
3264;26;2;2015;9;27;15;20;17
3265;27;2;2015;15;9;8;41;32
3266;28;2;2015;29;39;42;12;2
3267;2;3;2015;11;25;20;14;12
3268;3;3;2015;15;18;36;29;10
3269;4;3;2015;18;3;6;36;25
3270;5;3;2015;3;37;41;16;34
3271;6;3;2015;5;30;35;9;7
3272;7;3;2015;16;36;24;13;19
3273;9;3;2015;33;40;32;11;16
3274;10;3;2015;27;14;31;11;26
3275;11;3;2015;3;15;31;19;20
3276;12;3;2015;24;25;21;30;29
3277;13;3;2015;14;9;3;5;10
3278;14;3;2015;32;7;22;21;33
3279;16;3;2015;10;27;25;37;12
3280;17;3;2015;33;16;22;38;4
3281;18;3;2015;2;32;25;34;12
3282;19;3;2015;40;1;33;35;22
3283;20;3;2015;33;39;29;34;30
3284;21;3;2015;29;4;31;13;41
3285;23;3;2015;27;42;35;41;4
3286;24;3;2015;40;16;18;41;9
3287;25;3;2015;32;26;11;30;8
3288;26;3;2015;13;16;31;40;26
3289;27;3;2015;5;21;28;4;11
3290;28;3;2015;6;8;20;25;26
3291;30;3;2015;20;27;33;24;31
3292;31;3;2015;31;4;16;15;23
3293;1;4;2015;17;38;21;4;32
3294;2;4;2015;32;4;21;37;25
3295;3;4;2015;41;40;2;39;26
3296;4;4;2015;7;17;37;35;5
3297;6;4;2015;28;31;22;13;18
3298;7;4;2015;39;38;3;16;5
3299;8;4;2015;10;34;41;13;17
3300;9;4;2015;2;14;15;38;11
3301;10;4;2015;34;11;3;21;7
3302;11;4;2015;41;17;3;36;16
3303;13;4;2015;24;27;32;8;14
3304;14;4;2015;37;22;30;36;33
3305;15;4;2015;40;22;3;32;11
3306;16;4;2015;31;15;36;34;3
3307;17;4;2015;9;14;40;28;6
3308;18;4;2015;29;15;27;36;4
3309;20;4;2015;2;18;9;7;25
3310;21;4;2015;31;39;32;28;24
3311;22;4;2015;22;38;40;13;3
3312;23;4;2015;21;19;13;32;26
3313;24;4;2015;18;9;19;17;26
3314;25;4;2015;42;15;30;21;3
3315;27;4;2015;9;23;26;11;30
3316;28;4;2015;41;28;3;26;10
3317;29;4;2015;16;34;37;19;17
3318;30;4;2015;29;16;40;14;32
3319;1;5;2015;5;40;38;1;6
3320;2;5;2015;39;16;18;6;42
3321;4;5;2015;22;18;14;37;3
3322;5;5;2015;21;28;41;17;9
3323;6;5;2015;29;18;24;9;10
3324;7;5;2015;15;29;39;31;30
3325;8;5;2015;33;35;31;9;6
3326;9;5;2015;31;36;20;8;33
3327;11;5;2015;7;25;11;13;33
3328;12;5;2015;32;27;4;14;42
3329;13;5;2015;27;4;34;33;9
3330;14;5;2015;4;5;21;3;16
3331;15;5;2015;11;14;10;21;16
3332;16;5;2015;4;33;22;27;21
3333;18;5;2015;28;36;12;23;15
3334;19;5;2015;19;1;20;10;9
3335;20;5;2015;3;40;13;28;27
3336;21;5;2015;31;9;6;34;7
3337;22;5;2015;38;14;4;23;8
3338;23;5;2015;5;19;12;41;1
3339;25;5;2015;28;15;7;3;4
3340;26;5;2015;26;4;14;3;34
3341;27;5;2015;15;21;33;34;36
3342;28;5;2015;11;23;6;18;35
3343;29;5;2015;12;7;17;8;32
3344;30;5;2015;24;36;9;11;32
3345;1;6;2015;11;15;38;22;27
3346;2;6;2015;17;35;5;25;23
3347;3;6;2015;36;17;7;27;34
3348;4;6;2015;35;38;1;6;36
3349;5;6;2015;8;37;12;17;10
3350;6;6;2015;4;32;7;5;20
3351;8;6;2015;10;1;37;39;21
3352;9;6;2015;10;28;19;41;13
3353;10;6;2015;23;38;30;18;10
3354;11;6;2015;19;11;26;28;1
3355;12;6;2015;25;4;19;6;5
3356;13;6;2015;28;42;29;33;41
3357;15;6;2015;5;20;32;23;4
3358;16;6;2015;26;37;39;19;40
3359;17;6;2015;1;24;21;34;11
3360;18;6;2015;4;7;26;33;16
3361;19;6;2015;13;11;35;18;12
3362;20;6;2015;1;32;21;2;8
3363;22;6;2015;35;14;42;5;4
3364;23;6;2015;12;37;41;30;3
3365;24;6;2015;13;9;8;35;4
3366;25;6;2015;23;34;41;9;22
3367;26;6;2015;24;37;10;41;6
3368;27;6;2015;1;39;17;15;34
3369;29;6;2015;38;11;13;41;25
3370;30;6;2015;13;5;18;27;39
3371;1;7;2015;40;28;5;13;9
3372;2;7;2015;37;27;19;36;25
3373;3;7;2015;25;41;15;18;23
3374;4;7;2015;22;34;30;10;14
3375;6;7;2015;42;8;25;30;22
3376;7;7;2015;29;3;2;1;13
3377;8;7;2015;36;26;23;5;12
3378;9;7;2015;13;19;34;27;24
3379;10;7;2015;25;24;41;19;20
3380;11;7;2015;22;34;12;29;15
3381;13;7;2015;23;14;4;8;21
3382;14;7;2015;8;24;13;17;29
3383;15;7;2015;31;19;5;41;11
3384;16;7;2015;25;19;3;38;23
3385;17;7;2015;41;4;6;38;23
3386;18;7;2015;36;10;9;39;13
3387;20;7;2015;41;38;22;7;36
3388;21;7;2015;24;32;2;31;36
3389;22;7;2015;37;2;12;16;13
3390;23;7;2015;41;30;28;32;20
3391;24;7;2015;34;14;11;5;26
3392;25;7;2015;9;31;4;12;39
3393;27;7;2015;13;23;33;28;39
3394;28;7;2015;33;39;10;19;3
3395;29;7;2015;30;26;35;7;32
3396;30;7;2015;14;7;37;27;9
3397;31;7;2015;6;39;36;33;42
3398;1;8;2015;27;33;20;41;32
3399;3;8;2015;42;26;28;18;4
3400;4;8;2015;36;17;29;33;12
3401;5;8;2015;37;41;15;7;31
3402;6;8;2015;28;6;21;25;15
3403;7;8;2015;35;31;18;16;12
3404;8;8;2015;3;6;16;27;26
3405;10;8;2015;29;24;3;30;7
3406;11;8;2015;3;11;41;17;28
3407;12;8;2015;40;33;10;31;4
3408;13;8;2015;3;29;33;41;16
3409;14;8;2015;38;27;13;8;10
3410;15;8;2015;27;15;21;16;26
3411;17;8;2015;38;21;15;39;22
3412;18;8;2015;19;7;10;27;36
3413;19;8;2015;9;11;8;23;16
3414;20;8;2015;22;32;1;6;37
3415;21;8;2015;17;12;4;1;18
3416;22;8;2015;1;37;18;19;36
3417;24;8;2015;40;2;21;26;25
3418;25;8;2015;34;6;27;41;28
3419;26;8;2015;30;6;17;35;8
3420;27;8;2015;3;31;6;18;40
3421;28;8;2015;16;42;9;8;13
3422;29;8;2015;19;12;9;39;11
3423;31;8;2015;32;4;31;8;37
3424;1;9;2015;20;2;29;13;23
3425;2;9;2015;4;33;26;37;25
3426;3;9;2015;39;36;22;34;33
3427;4;9;2015;35;6;22;41;24
3428;5;9;2015;6;21;4;19;40
3429;7;9;2015;10;7;22;12;41
3430;8;9;2015;31;38;17;29;32
3431;9;9;2015;41;25;10;37;35
3432;10;9;2015;21;36;10;8;22
3433;11;9;2015;38;7;13;9;12
3434;12;9;2015;41;35;15;17;13
3435;14;9;2015;17;19;2;36;8
3436;15;9;2015;29;27;42;34;32
3437;16;9;2015;24;16;4;15;6
3438;17;9;2015;4;41;36;24;12
3439;18;9;2015;15;19;34;31;3
3440;19;9;2015;37;11;13;18;26
3441;21;9;2015;31;20;8;28;10
3442;22;9;2015;2;27;21;34;18
3443;23;9;2015;11;25;18;20;30
3444;24;9;2015;12;17;23;37;32
3445;25;9;2015;23;18;40;30;1
3446;26;9;2015;16;33;35;10;29
3447;28;9;2015;22;30;13;12;19
3448;29;9;2015;40;1;2;21;29
3449;30;9;2015;34;35;42;11;4
3450;1;10;2015;17;30;14;26;7
3451;2;10;2015;23;29;35;19;36
3452;3;10;2015;23;5;17;12;20
3453;5;10;2015;24;22;26;41;16
3454;6;10;2015;6;3;1;26;35
3455;7;10;2015;41;31;18;32;15
3456;8;10;2015;9;34;13;16;20
3457;9;10;2015;3;37;28;9;5
3458;10;10;2015;37;25;3;35;11
3459;12;10;2015;28;32;12;13;6
3460;13;10;2015;22;16;41;26;40
3461;14;10;2015;25;15;9;31;17
3462;15;10;2015;30;8;9;31;33
3463;16;10;2015;1;2;5;15;32
3464;17;10;2015;5;13;34;11;9
3465;19;10;2015;18;3;27;41;5
3466;20;10;2015;8;35;12;28;29
3467;21;10;2015;14;29;12;40;2
3468;22;10;2015;17;13;18;39;28
3469;23;10;2015;3;40;22;7;9
3470;24;10;2015;34;10;6;22;39
3471;26;10;2015;7;20;9;16;8
3472;27;10;2015;31;23;29;5;10
3473;28;10;2015;36;22;11;37;7
3474;29;10;2015;21;28;18;2;31
3475;30;10;2015;33;6;41;26;13
3476;31;10;2015;33;29;40;31;28
3477;2;11;2015;30;25;20;27;8
3478;3;11;2015;39;11;10;21;29
3479;4;11;2015;11;29;28;34;39
3480;5;11;2015;26;41;13;11;21
3481;6;11;2015;27;8;19;13;35
3482;7;11;2015;8;11;1;40;6
3483;9;11;2015;42;26;33;11;3
3484;10;11;2015;18;21;1;22;14
3485;11;11;2015;22;25;24;38;14
3486;12;11;2015;30;6;7;8;40
3487;13;11;2015;23;4;6;14;22
3488;14;11;2015;29;7;4;42;13
3489;16;11;2015;29;21;9;40;23
3490;17;11;2015;41;12;4;10;17
3491;18;11;2015;10;4;39;37;13
3492;19;11;2015;6;13;8;11;20
3493;20;11;2015;9;36;28;29;11
3494;21;11;2015;34;13;19;1;36
3495;23;11;2015;4;1;42;20;10
3496;24;11;2015;29;15;35;38;20
